event_title,summary,image_url,language,event_type,event_host,ticket_price,booking_url,start_date,end_date,start_time,end_time,event_place,full_address,country_name,state_name,city_name,postal_code
Star Trek vs Star Wars,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F839850089%2F295680035641%2F1%2Foriginal.20240902-224527?w=600&auto=format%2Ccompress&q=75&sharp=10&s=12e19d008f0cbf8c0c087350284880ae,,,Ottawa Pops Orchestra,22.08,https://www.eventbrite.ca/e/star-trek-vs-star-wars-tickets-940340733447?aff=ebdssbdestsearch,2025-06-14,2025-06-01,19:30,21:30,Carleton Dominion-Chalmers Centre,"355 Cooper Street Ottawa, ON K2P 0G8 Show map",Canada,ON,,K2P 0G8
#ExperienceTO: High Park Historical Tour,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F918674563%2F3139958924%2F1%2Foriginal.20241217-043842?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1080%2C540&s=e9fa296e01588263a433bf9ed2b0eb1d,,,Alex Rascanu,Free,https://www.eventbrite.ca/e/experienceto-high-park-historical-tour-tickets-1116161692669?aff=ebdssbdestsearch,2025-06-07,2025-06-01,11:00,12:30,Hannah's Cafe and Bakery,"1822 Bloor Street West Toronto, ON M6P 3K6 Show map",Canada,ON,,M6P 3K6
Shipyard Shindig Music and Arts Festival,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1020671943%2F28224680367%2F1%2Foriginal.20250501-012138?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=5e7b81b1d10ffcee28b61a29fc6a10d6,,,Golden Shores Music Society,33.28,https://www.eventbrite.ca/e/shipyard-shindig-music-and-arts-festival-tickets-1288751944759?aff=ebdssbdestsearch,2025-06-14,2025-06-01,11:00,10:00,Shipyards Landing Bridgewater,"King Street Bridgewater, NS B4V 1A5 Show map",Canada,NS,,B4V 1A5
Georges P. Vanier 50 th High School Reunion Fri. June 13 & June 14 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F996408703%2F135118171433%2F1%2Foriginal.20250331-034118?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C414%2C6600%2C3300&s=205cc5adbe0393f860961cbe38f7f477,,,Georges P. Vanier 50 th Reunion 2025,97.18,https://www.eventbrite.ca/e/georges-p-vanier-50-th-high-school-reunion-fri-june-13-june-14-2025-tickets-1296323030079?aff=ebdssbdestsearch,2025-06-14,2025-06-01,17:30,17:30,Fable Gardens & Fable Hall,"10010 101 Avenue Morinville, AB T8R 1R1 Show map",Canada,AB,,T8R 1R1
41st Annual Qualitative Analysis Conference,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F934527373%2F94876991283%2F1%2Foriginal.20250113-181052?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C63%2C1176%2C588&s=b7a1ae05dc5a07d8d2cd978aa00ef75f,,,Library and Office of Research,0,https://www.eventbrite.ca/e/41st-annual-qualitative-analysis-conference-tickets-1146218874509?aff=ebdssbdestsearch,2025-06-18,2025-06-01,10:00,12:00,Québec City,"Delta Hotel Quebec 690 Bd René-Lévesque E , QC G1R 5A8 Show map",Canada,QC,,G1R 5A8
HEALTHCARE AND SOCIAL WORK CAREER FAIR 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F999143453%2F1732388864073%2F1%2Foriginal.20250402-181317?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=c0a65f9e39d353b276106654e9a0453c,,,GLOBAL EVENTS CANADA,0,https://www.eventbrite.ca/e/healthcare-and-social-work-career-fair-2025-tickets-1310722629669?aff=ebdssbdestsearch,2025-06-20,2025-06-21,09:00,09:00,Toronto Metropolitan University,"350 Victoria Street Toronto, ON M5B 2K3 Show map",Canada,ON,,M5B 2K3
2025 NOSDA Annual General Meeting,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F904627473%2F176333581789%2F1%2Foriginal.20241122-154307?w=600&auto=format%2Ccompress&q=75&sharp=10&s=211937a712e9c582cc8d978ee8d8afca,,,Northern Ontario Service Deliverers Association (NOSDA),0,https://www.eventbrite.ca/e/2025-nosda-annual-general-meeting-tickets-1278101649439?aff=ebdssbdestsearch,2025-06-03,2025-06-05,19:00,11:30,Delta Hotels Sault Ste. Marie Waterfront,"208 St. Mary's River Drive Sault Ste. Marie, ON P6A 5V4 Show map",Canada,ON,,P6A 5V4
Through the Garden Gate: Hoggs Hollow,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1040979043%2F99205391467%2F1%2Foriginal.20250528-202218?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C567%2C4032%2C2016&s=40d4057a886975514356f390c3ce819f,,,Toronto Botanical Garden,27.96,https://www.eventbrite.ca/e/through-the-garden-gate-hoggs-hollow-tickets-1238641723739?aff=ebdssbdestsearch,2025-06-07,2025-06-08,11:00,16:00,3885 Yonge St,"reet Toronto, ON M4N 2P2 Show map",Canada,ON,,M4N 2P2
Oliver Burkeman on How to Make Time For What Counts,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F951618583%2F1108713443793%2F1%2Foriginal.20250203-195929?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.890151515152&fp-y=0.771375464684&s=f86350d241e518c8635b9053e12cb239,,,Rotman Events,0 - 37.06,https://www.eventbrite.ca/e/oliver-burkeman-on-how-to-make-time-for-what-counts-tickets-1233952006669?aff=ebdssbdestsearch,2025-06-02,2025-06-01,17:30,18:30,Rotman School of Management,"105 St. George Street Toronto, ON",Canada,ON,,M5S 3E6
Graduation Celebration,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F973886763%2F2451330194141%2F1%2Foriginal.20250303-174512?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.500473484848&fp-y=0.546692607004&s=655a7bb3fba908b48835eb8811b10164,,,Faculty of Education 2025 Grad Committee,,https://www.eventbrite.com/e/graduation-celebration-tickets-1266613919329?aff=ebdssbdestsearch,2025-06-14,2025-06-15,20:00,02:00,274 Garry St,"reet Winnipeg, MB R3C 1H3 Show map",Canada,MB,,R3C 1H3
